"Jaar","Bulgarije (x 1 000 euro)","Estland (x 1 000 euro)","Europe Unie (x 1 000 euro)","Ierland (x 1 000 euro)","Letland (x 1 000 euro)","Litouwen (x 1 000 euro)","Luxemburg (x 1 000 euro)","Nederland (x 1 000 euro)"
"1995","1,7","2,1","14,9","14,7","1,7","1,4","40,3","22,4"
"1996","1,2","2,6","15,6","16,5","1,9","1,8","41,4","22,9"
"1997","1,2","3,2","16,0","20,0","2,4","2,5","41,5","23,6"
"1998","1,6","3,6","16,7","21,7","2,7","2,8","42,5","24,9"
"1999","1,6","3,9","17,4","24,7","2,9","2,9","48,4","26,5"
"2000","1,8","4,4","18,4","28,5","3,6","3,6","52,8","28,4"
"2001","2,0","5,0","19,2","31,6","4,0","3,9","53,8","30,0"
"2002","2,2","5,7","19,9","34,6","4,4","4,4","56,2","31,0"
"2003","2,4","6,4","20,3","36,4","4,6","4,9","57,9","31,6"
"2004","2,7","7,2","21,2","38,4","5,2","5,4","60,9","32,5"
"2005","3,1","8,3","22,0","40,9","6,1","6,3","64,5","33,8"
"2006","3,6","10,0","23,2","43,3","7,8","7,4","71,5","35,8"
"2007","4,2","12,2","24,6","44,8","10,3","9,0","77,3","37,8"
"2008","4,9","12,4","25,3","41,7","11,2","10,2","77,9","39,4"
"2009","4,9","10,6","24,1","37,4","8,8","8,5","74,2","37,8"
"2010","5,1","11,2","24,9","36,8","8,5","9,1","79,2","38,5"
"2011","5,6","12,7","25,6","37,3","9,9","10,3","83,1","39,0"
"2012","5,8","13,6","25,8","38,1","10,9","11,2","83,0","39,0"
"2013","5,8","14,4","26,0","38,9","11,4","11,9","85,3","39,3"
"2014","5,9","15,3","26,6","42,0","11,8","12,5","89,2","39,8"
"2015","6,4","15,8","27,5","56,0","12,4","12,9","91,4","40,7"
"2016","6,8","16,7","28,2","57,0","12,9","13,6","93,9","41,6"
"2017","7,4","18,1","29,3","62,6","13,9","15,0","95,2","43,1"
"2018","8,0","19,7","30,3","67,3","15,1","16,2","98,6","44,9"
"2019","8,8","21,2","31,2","72,3","15,9","17,5","102,2","46,9"
"2020","8,8","20,4","29,7","73,6","15,4","17,5","101,6","45,9"